OBJECTID;CODIGO;nombre;CATEGORIA;TECNOLOGIA;ESTADO;FECHA_INSTALACION;altitud;latitud;longitud;DEPARTAMENTO;MUNICIPIO;AREA_OPERATIVA;AREA_HIDROGRAFICA;ZONA_HIDROGRAFICA;observacion;CORRIENTE;FECHA_SUSPENSION;SUBZONA_HIDROGRAFICA;ENTIDAD;subred
2282;42060010;LOS CERROS [42060010];Pluviométrica;Convencional;Activa;1984-03-15;195;0.91;-70.78;Vaupes;Mitú;Area Operativa 03 - Meta-Guaviare-Guainía;Amazonas;Vaupes;Estacion Homologada con LOS CERROS [42067010]. Datos Transferidos desde 15/03/1984.;0;;Bajo Vaupés;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
2283;15027010;PUENTE CARRETERA [15027010];Limnigráfica;Convencional;Activa;1973-12-15;40;11.24416667;-73.68527778;Magdalena;Santa Marta;Area Operativa 05 - Magdalena-Cesar-Guajira-San Andrés;Caribe;Caribe - Guajira;;Don Diego;;Río Ancho y Otros Directos al caribe;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;RED ALERTAS - AREA OPERATIVA 05,
2284;15017080;BURITACA [15017080];Limnimétrica;Convencional;Activa;1999-12-15;28;11.24944444;-73.7625;Magdalena;Santa Marta;Area Operativa 05 - Magdalena-Cesar-Guajira-San Andrés;Caribe;Caribe - Guajira;;Buritaca;;Rio Guachaca - Mendiguaca y Buritaca;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;RED ALERTAS - AREA OPERATIVA 05,
2285;15010020;BURITACA [15010020];Pluviométrica;Convencional;Activa;1973-10-15;30;11.25013056;-73.76475;Magdalena;Santa Marta;Area Operativa 05 - Magdalena-Cesar-Guajira-San Andrés;Caribe;Caribe - Guajira;;Buritaca;;Rio Guachaca - Mendiguaca y Buritaca;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;RED ALERTAS - AREA OPERATIVA 05,
2286;15047020;PUENTE BOMBA [15047020];Limnimétrica;Convencional;Activa;1975-10-15;14;11.25205556;-73.16338889;La Guajira;Riohacha;Area Operativa 05 - Magdalena-Cesar-Guajira-San Andrés;Caribe;Caribe - Guajira;;Tapias;;Río Tapias;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;RED ALERTAS - AREA OPERATIVA 05,
2287;15017040;GUACHACA [15017040];Limnigráfica;Convencional;Activa;1973-11-15;40;11.25602778;-73.87672222;Magdalena;Santa Marta;Area Operativa 05 - Magdalena-Cesar-Guajira-San Andrés;Caribe;Caribe - Guajira;;Guachaca;;Rio Guachaca - Mendiguaca y Buritaca;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Norte de Cesar y La Guajira,
2288;15010300;GUACHACA [15010300];Pluviográfica;Convencional;Activa;1967-05-15;45;11.25638889;-73.83666667;Magdalena;Santa Marta;Area Operativa 05 - Magdalena-Cesar-Guajira-San Andrés;Caribe;Caribe - Guajira;;Guachaca;;Rio Guachaca - Mendiguaca y Buritaca;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Norte de Cesar y La Guajira,RED ALERTAS - AREA OPERATIVA 05,
2289;15045010;MATITAS [15045010];Climática Ordinaria;Convencional;Activa;1964-02-15;20;11.26388889;-73.03027778;La Guajira;Riohacha;Area Operativa 05 - Magdalena-Cesar-Guajira-San Andrés;Caribe;Caribe - Guajira;;Guachaca;;Río Tapias;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Norte de Cesar y La Guajira,RED ALERTAS - AREA OPERATIVA 05,
2290;15050020;FLORIDA LA [15050020];Pluviométrica;Convencional;Suspendida;1968-05-15;46;11.25;-72.91666667;La Guajira;Riohacha;Area Operativa 05 - Magdalena-Cesar-Guajira-San Andrés;Caribe;Caribe - Guajira;;Buritaca;1970-01-15;Río Camarones y otros directos Caribe;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
2291;15015090;CANAVERALES [15015090];Climática Ordinaria;Convencional;Suspendida;1974-02-15;30;11.26666667;-73.88333333;Magdalena;Santa Marta;Area Operativa 05 - Magdalena-Cesar-Guajira-San Andrés;Caribe;Caribe - Guajira;;Guachaca;1977-04-15;Rio Guachaca - Mendiguaca y Buritaca;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
2292;15020010;ALTO RIO DON DIEGO [15020010];Pluviométrica;Convencional;Suspendida;1973-12-15;480;11.26666667;-73.68333333;Magdalena;Santa Marta;Area Operativa 05 - Magdalena-Cesar-Guajira-San Andrés;Caribe;Caribe - Guajira;;Guachaca;1979-12-15;Río Don Diego;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
2293;15080140;CARRAIPIA [15080140];Pluviométrica;Convencional;Suspendida;1966-05-15;50;11.26666667;-72.36666667;La Guajira;Maicao;Area Operativa 05 - Magdalena-Cesar-Guajira-San Andrés;Caribe;Caribe - Guajira;;Guachaca;1971-11-15;Río Carraipia - Paraguachon, Directos al Golfo Maracaibo;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
2294;15037020;PUENTE CARRETERA [15037020];Limnigráfica;Convencional;Activa;1973-10-14 19:00;30;11.24455556;-73.56861111;Magdalena;Santa Marta;Area Operativa 05 - Magdalena-Cesar-Guajira-San Andrés;Caribe;Caribe - Guajira;De acuerdo con el orfeo 20187050000733 enviado por el coordinador del área operativa 05, donde pide poner en estado suspendido varias estaciones de su jurisdicción, pero se reactivan algunas de ellas;Palomino;;Río Ancho y Otros Directos al caribe;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Norte de Cesar y La Guajira,RED ALERTAS - AREA OPERATIVA 05,
2295;15030010;DIBULLA [15030010];Pluviométrica;Convencional;Activa;1958-08-15;5;11.27522222;-73.31219444;La Guajira;Dibulla;Area Operativa 05 - Magdalena-Cesar-Guajira-San Andrés;Caribe;Caribe - Guajira;;Guachaca;;Río Ancho y Otros Directos al caribe;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;RED ALERTAS - AREA OPERATIVA 05,
2296;15017020;REVUELTA LA [15017020];Limnimétrica;Convencional;Activa;1965-05-15;50;11.27763889;-73.94155556;Magdalena;Santa Marta;Area Operativa 05 - Magdalena-Cesar-Guajira-San Andrés;Caribe;Caribe - Guajira;;Piedras;;Río  Piedras - Río Manzanares;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;RED ALERTAS - AREA OPERATIVA 05,
2297;15087080;PARAGUACHON [15087080];Limnigráfica;Convencional;Activa;1989-02-15;35;11.36013889;-72.13244444;La Guajira;Maicao;Area Operativa 05 - Magdalena-Cesar-Guajira-San Andrés;Caribe;Caribe - Guajira;;Carraipia;;Río Carraipia - Paraguachon, Directos al Golfo Maracaibo;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
2298;15060010;REMEDIOS LOS [15060010];Pluviométrica;Convencional;Activa;1971-09-15;10;11.38177778;-72.9135;La Guajira;Riohacha;Area Operativa 05 - Magdalena-Cesar-Guajira-San Andrés;Caribe;Caribe - Guajira;;Carraipia;;Río Camarones y otros directos Caribe;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
2299;15087010;CARRAIPIA [15087010];Limnigráfica;Convencional;Activa;1971-08-15;110;11.23411111;-72.35880556;La Guajira;Maicao;Area Operativa 05 - Magdalena-Cesar-Guajira-San Andrés;Caribe;Caribe - Guajira;;Carraipia;;Río Carraipia - Paraguachon, Directos al Golfo Maracaibo;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
2300;15050010;CAMARONES [15050010];Pluviométrica;Convencional;Activa;1971-09-15;5;11.42883333;-73.05272222;La Guajira;Riohacha;Area Operativa 05 - Magdalena-Cesar-Guajira-San Andrés;Caribe;Caribe - Guajira;;Carraipia;;Río Camarones y otros directos Caribe;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
2301;15070160;ESCUELA CEURA [15070160];Pluviométrica;Convencional;Activa;1971-06-15;85;11.43775;-72.46997222;La Guajira;Maicao;Area Operativa 05 - Magdalena-Cesar-Guajira-San Andrés;Caribe;Caribe - Guajira;;Carraipia;;Directos Caribe - Ay.Sharimahana Alta Guajira;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
2302;15060230;ARROYO ARENA [15060230];Pluviométrica;Convencional;Suspendida;1966-05-15;58;11.28333333;-72.88333333;La Guajira;Riohacha;Area Operativa 05 - Magdalena-Cesar-Guajira-San Andrés;Caribe;Caribe - Guajira;;Piedras;1971-11-15;Río Ranchería;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
2303;15087090;CHINGOLITA LA [15087090];Limnimétrica;Convencional;Suspendida;1992-07-15;500;11.29805556;-72.19138889;La Guajira;Maicao;Area Operativa 05 - Magdalena-Cesar-Guajira-San Andrés;Caribe;Caribe - Guajira;;Carraipia;2010-10-15;Río Carraipia - Paraguachon, Directos al Golfo Maracaibo;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
2304;15080150;MAICAO [15080150];Pluviométrica;Convencional;Suspendida;1937-08-15;50;11.38333333;-72.25;La Guajira;Maicao;Area Operativa 05 - Magdalena-Cesar-Guajira-San Andrés;Caribe;Caribe - Guajira;;Carraipia;1972-02-15;Río Carraipia - Paraguachon, Directos al Golfo Maracaibo;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
2305;15085010;AEROPUERTO MAICAO [15085010];Climática Principal;Convencional;Suspendida;1971-06-15;53;11.4;-72.25;La Guajira;Maicao;Area Operativa 05 - Magdalena-Cesar-Guajira-San Andrés;Caribe;Caribe - Guajira;;Carraipia;1996-06-15;Río Carraipia - Paraguachon, Directos al Golfo Maracaibo;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
2306;15070170;ITACA [15070170];Pluviométrica;Convencional;Suspendida;1971-06-15;85;11.43333333;-72.55;La Guajira;Maicao;Area Operativa 05 - Magdalena-Cesar-Guajira-San Andrés;Caribe;Caribe - Guajira;;Carraipia;1980-10-15;Directos Caribe - Ay.Sharimahana Alta Guajira;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
2307;15070230;GUAYABAL [15070230];Pluviométrica;Convencional;Suspendida;1980-10-15;85;11.44011111;-72.55377778;La Guajira;Maicao;Area Operativa 05 - Magdalena-Cesar-Guajira-San Andrés;Caribe;Caribe - Guajira;;Carraipia;2014-08-28;Directos Caribe - Ay.Sharimahana Alta Guajira;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
2308;15015030;PUNTA BETIN [15015030];Climática Ordinaria;Convencional;Suspendida;1965-05-15;15;11.47233889;-74.21320278;Magdalena;Santa Marta;Area Operativa 05 - Magdalena-Cesar-Guajira-San Andrés;Caribe;Caribe - Guajira;;Carraipia;1979-09-15;Río  Piedras - Río Manzanares;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
2309;15065160;AEROPUERTO ALM. PADILLA [15065160];Radio Sonda;Convencional;Suspendida;1990-10-14 19:00;4;11.52961111;-72.91766667;La Guajira;Riohacha;Area Operativa 05 - Magdalena-Cesar-Guajira-San Andrés;Caribe;Caribe - Guajira;De acuerdo con el orfeo 20187050000733 enviado por el coordinador del área operativa 05, donde pide poner en estado suspendido varias estaciones de su jurisdicción;0;2019-07-02 6:40;Río Ranchería;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Radiación Ultravioleta,Radiación Visible,
2310;15070150;CARACAS HACIENDA [15070150];Pluviométrica;Convencional;Activa;1971-07-15;80;11.48213889;-72.55897222;La Guajira;Manaure;Area Operativa 05 - Magdalena-Cesar-Guajira-San Andrés;Caribe;Caribe - Guajira;;Rancheria;;Directos Caribe - Ay.Sharimahana Alta Guajira;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
2311;15065070;TANINOS [15065070];Climática Ordinaria;Convencional;Suspendida;1968-03-15;10;11.51666667;-72.86666667;La Guajira;Riohacha;Area Operativa 05 - Magdalena-Cesar-Guajira-San Andrés;Caribe;Caribe - Guajira;;Rancheria;1970-10-15;Río Ranchería;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
2312;12010110;PRADO MAR [12010110];Pluviométrica;Convencional;Activa;1977-07-15;5;7.98741667;-76.63852778;Antioquia;Turbo;Area Operativa 01 - Antioquia-Chocó;Caribe;Caribe - Litoral;;Anchicaya;;Río Mulatos y otros directos al Caribe;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
2313;16010340;TASAJERO [16010340];Pluviométrica;Convencional;Activa;1984-03-15;953;7.99302778;-72.46172222;Norte de Santander;Cúcuta;Area Operativa 08 - Santanderes-Arauca;Caribe;Catatumbo;;Anchicaya;;Río Pamplonita;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
2314;23190520;DORADA LA [23190520];Pluviométrica;Convencional;Activa;1971-10-15;271;7.99555556;-73.43972222;Cesar;San Martín (Cesar);Area Operativa 08 - Santanderes-Arauca;Magdalena Cauca;Medio Magdalena;;Currulao;;Río Lebrija y otros directos al Magdalena;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;RED DE ISOTOPIA AREA OPERATIVA 08,
2315;12027040;CURRULAO [12027040];Limnimétrica;Convencional;Suspendida;1977-09-15;51;7.99441667;-76.63175;Antioquia;Turbo;Area Operativa 01 - Antioquia-Chocó;Caribe;Caribe - Litoral;;Currulao;2011-05-10;Río Mulatos y otros directos al Caribe;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
2316;11140010;MARIRRIO [11140010];Pluviométrica;Convencional;Suspendida;1987-07-15;1;8;-76.95;Antioquia;Turbo;Area Operativa 01 - Antioquia-Chocó;Caribe;Atrato - Darién;;Currulao;1989-07-15;Directos Bajo Atrato entre río Sucio y desembocadura;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
2317;13037010;ANGOSTURA DE URRA [13037010];Limnigráfica;Convencional;Suspendida;1959-08-15;77;8;-76.25;Córdoba;Tierralta;Area Operativa 02 - Atlántico-Bolivar-Sucre;Caribe;Sinú;;Sinu;1998-12-15;Alto Sinú - Urrá;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
2318;25021390;CAUCASIA [25021390];Pluviométrica;Convencional;Suspendida;1959-02-15;70;8;-75.2;Antioquia;Caucasia;Area Operativa 01 - Antioquia-Chocó;Magdalena Cauca;Bajo Magdalena- Cauca -San Jorge;;Sinu;2004-04-15;Bajo San Jorge - La Mojana;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
2319;25027130;PALANCA [25027130];Limnimétrica;Convencional;Suspendida;1967-02-15;45;8;-75.16666667;Antioquia;Caucasia;Area Operativa 01 - Antioquia-Chocó;Magdalena Cauca;Cauca;;Cauca;1977-10-15;Directos al Cauca entre Pto Valdivia y Río Nechí;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
2320;16020210;GUAYABAL [16020210];Pluviométrica;Convencional;Suspendida;1967-11-15;250;8;-72.5;Norte de Santander;Cúcuta;Area Operativa 08 - Santanderes-Arauca;Caribe;Catatumbo;;Cauca;2002-04-15;Río Zulia;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
2321;16010150;LIMONCITO 1 [16010150];Pluviométrica;Convencional;Suspendida;1966-08-15;269;8;-72.41666667;Norte de Santander;Cúcuta;Area Operativa 08 - Santanderes-Arauca;Caribe;Catatumbo;;Cauca;1973-12-15;Río Pamplonita;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
2322;25025160;CUBA HACIENDA [25025160];Climática Ordinaria;Convencional;Activa;1973-04-15;50;8.00388889;-75.40277778;Córdoba;Montelíbano;Area Operativa 02 - Atlántico-Bolivar-Sucre;Magdalena Cauca;Bajo Magdalena- Cauca -San Jorge;;Cauca;;Bajo San Jorge - La Mojana;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Córdoba, Sucre, Sur de Bolívar, Urabá y Bajo Cauca Antioqueño ,RED ALERTAS - AREA OPERATIVA 02,
2323;16050130;CAMPANARIO EL [16050130];Pluviométrica;Convencional;Activa;1965-01-15;1800;8.00472222;-73.23444444;Norte de Santander;Ábrego;Area Operativa 08 - Santanderes-Arauca;Caribe;Catatumbo;;Cauca;;Río Algodonal (Alto Catatumbo);INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
2324;26245040;JHB CAUCASIA [26245040];Climática Principal;Convencional;Suspendida;2008-04-13;54;8.00563889;-75.14694444;Antioquia;Caucasia;Area Operativa 01 - Antioquia-Chocó;Magdalena Cauca;Cauca;LA ESTACIÓN GENERÓ INFORMACIÓN INTERMITENTEMENTE HASTA FEBRERO DE 2015.  SE DEBIÓ DESMANTELAR Y SE REUBICÓ EN SITIO LEJANO, DEBIENDO POR ELLO SUSPENDERSE DE MANERA DEFINITIVA.  LA APROBACIÓN POR PARTE DE LA SUBDIRECCIÓN DE METEOROLOGIA SE SOLICITÓ Y OBTUVO MEDIANTE ORFEO 20177010008883;0;2018-05-25 7:39;Directos al Cauca entre Pto Valdivia y Río Nechí;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
2325;25010110;ACACIAS LAS HACIENDA [25010110];Pluviométrica;Convencional;Activa;1980-02-15;80;8.00611111;-75.64722222;Córdoba;Puerto Libertador;Area Operativa 02 - Atlántico-Bolivar-Sucre;Magdalena Cauca;Bajo Magdalena- Cauca -San Jorge;;Cauca;;Alto San Jorge;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
2326;23190710;BARRANCA LEBRIJA [23190710];Pluviométrica;Convencional;Activa;1983-09-15;50;8.01183333;-73.72444444;Cesar;Aguachica;Area Operativa 08 - Santanderes-Arauca;Magdalena Cauca;Medio Magdalena;;Cauca;;Río Lebrija y otros directos al Magdalena;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
2327;16020180;CERRO PELAO [16020180];Pluviométrica;Convencional;Activa;1967-11-15;300;8.01194444;-72.50027778;Norte de Santander;Cúcuta;Area Operativa 08 - Santanderes-Arauca;Caribe;Catatumbo;;Cauca;;Río Zulia;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
2328;13015040;REPRESA URRA [13015040];Climática Principal;Convencional;Activa;2004-11-15;300;8.01416667;-76.20305556;Córdoba;Tierralta;Area Operativa 02 - Atlántico-Bolivar-Sucre;Caribe;Sinú;;Cauca;;Medio Sinú;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;RED ALERTAS - AREA OPERATIVA 02,
2329;16030100;SAN JUAN [16030100];Pluviométrica;Convencional;Activa;1973-10-15;2240;8.02527778;-73.01861111;Norte de Santander;Villa Caro;Area Operativa 08 - Santanderes-Arauca;Caribe;Catatumbo;;Zulia;;Río Nuevo Presidente - Tres Bocas (Sardinata, Tibu);INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
2330;16010100;RICAURTE [16010100];Pluviométrica;Convencional;Activa;1985-10-15;1492;8.02636111;-72.35397222;Norte de Santander;Cúcuta;Area Operativa 08 - Santanderes-Arauca;Caribe;Catatumbo;;Cauca;;Río Pamplonita;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
2331;16057010;VEGAS LAS [16057010];Limnigráfica;Convencional;Activa;1969-08-15;1420;8.0305;-73.21813889;Norte de Santander;Ábrego;Area Operativa 08 - Santanderes-Arauca;Caribe;Catatumbo;;Frio;;Río Algodonal (Alto Catatumbo);INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
2332;16027070;PAJARITO [16027070];Limnigráfica;Convencional;Suspendida;1959-11-15;150;8.01666667;-72.6;Norte de Santander;El Zulia;Area Operativa 08 - Santanderes-Arauca;Caribe;Catatumbo;;Zulia;1992-09-15;Río Zulia;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
2333;25020540;PATIO BONITO [25020540];Pluviométrica;Convencional;Activa;1970-05-15;20;8.03111111;-74.70611111;Antioquia;Nechí;Area Operativa 01 - Antioquia-Chocó;Magdalena Cauca;Nechí;;Frio;;Bajo Nechí (md);INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
2334;25017030;PICA PICA  - AUT [25017030];Limnimétrica;TEST005;Activa;1995-08-15;96;8.03;-75.68;Córdoba;Montelíbano;Area Operativa 02 - Atlántico-Bolivar-Sucre;Magdalena Cauca;Bajo Magdalena- Cauca -San Jorge;Estación pendiente de Homologacion 2;San Jorge;;Alto San Jorge;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Córdoba, Sucre, Sur de Bolívar, Urabá y Bajo Cauca Antioqueño ,RED ALERTAS - AREA OPERATIVA 02,
2335;25021240;CHIMICHAGUA [25021240];Pluviométrica;Convencional;Activa;1972-07-15;138;9.26008333;-73.80986111;Cesar;Chimichagua;Area Operativa 05 - Magdalena-Cesar-Guajira-San Andrés;Magdalena Cauca;Cesar;;Canal Rio Frio;;Bajo Cesar;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Atlántico, Magdalena y Norte de Bolívar,RED ALERTAS - AREA OPERATIVA 05,
2336;25021350;MOMPOS [25021350];Pluviométrica;Convencional;Activa;1976-10-15;20;9.26277778;-74.43555556;Bolívar;Mompós;Area Operativa 02 - Atlántico-Bolivar-Sucre;Magdalena Cauca;Bajo Magdalena;;Canal Rio Frio;;Directos Bajo Magdalena entre El Banco y El Plato;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Atlántico, Magdalena y Norte de Bolívar,RED ALERTAS - AREA OPERATIVA 02,
2337;25021300;LIMON EL [25021300];Pluviométrica;Convencional;Activa;1976-10-15;20;9.27388889;-74.64638889;Bolívar;Cicuco;Area Operativa 02 - Atlántico-Bolivar-Sucre;Magdalena Cauca;Bajo Magdalena;;Lago La Pastora;;Directos Bajo Magdalena entre El Banco y El Plato;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
2338;25025100;AEROPUERTO BARACOA [25025100];Climática Principal;Convencional;Activa;1954-01-15;18;9.28194444;-74.84527778;Bolívar;Magangué;Area Operativa 02 - Atlántico-Bolivar-Sucre;Magdalena Cauca;Bajo Magdalena- Cauca -San Jorge;;Lago La Pastora;;Bajo San Jorge - La Mojana;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Atlántico, Magdalena y Norte de Bolívar,RED ALERTAS - AREA OPERATIVA 02,
2339;13090230;PASTORA LA [13090230];Pluviométrica;Convencional;Activa;1990-11-15;58;9.29333333;-75.49194444;Sucre;Sincelejo;Area Operativa 02 - Atlántico-Bolivar-Sucre;Caribe;Caribe - Litoral;;Lago La Pastora;;Directos Caribe Golfo de Morrosquillo;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
2340;13085010;DOCTRINA LA [13085010];Climática Principal;Convencional;Activa;1968-01-15;20;9.29722222;-75.89277778;Córdoba;Lorica;Area Operativa 02 - Atlántico-Bolivar-Sucre;Caribe;Sinú;;Lago La Pastora;;Bajo Sinú;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Córdoba, Sucre, Sur de Bolívar, Urabá y Bajo Cauca Antioqueño ,RED ALERTAS - AREA OPERATIVA 02,
2341;26075150;AEROPUERTO A. BONILLA - AUT [26075150];Sinóptica Principal;Automática con Telemetría;En Mantenimiento;2005-09-26;961;3.53299167;-76.3825;Valle del Cauca;Palmira;Area Operativa 09 - Cauca-Valle-Caldas;Magdalena Cauca;Cauca;Por REQ2021-000578 Se hacen ajustes solicitados por la Coordinadora del AO 09.|25/08/2022$Migracion$Se Cambia Estado por orden de la Coordinación de Planeacion Operativa Decisión tomada en la Reunión de la RED 19/08/2022;0;;Ríos Amaime y Cerrito;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Radiación Ultravioleta,Radiación Visible,
2342;16047070;CANAL RIO FRIO BOC [16047070];Limnimétrica;Convencional;Suspendida;1980-09-15;1410;8.03333333;-73.21666667;Norte de Santander;Ábrego;Area Operativa 08 - Santanderes-Arauca;Caribe;Catatumbo;;Canal Rio Frio;1990-01-15;Río Algodonal (Alto Catatumbo);INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
2343;13097040;CERRO BOMBA [13097040];Limnimétrica;Convencional;Suspendida;1989-12-15;50;9.26666667;-75.5;Córdoba;San Andrés De Sotavento;Area Operativa 02 - Atlántico-Bolivar-Sucre;Caribe;Caribe - Litoral;;Lago Cerro Bomba;1991-01-15;Directos Caribe Golfo de Morrosquillo;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
2344;13097050;PASTORA LA [13097050];Limnimétrica;Convencional;Suspendida;1989-12-15;58;9.26666667;-75.48333333;Sucre;Sincelejo;Area Operativa 02 - Atlántico-Bolivar-Sucre;Caribe;Caribe - Litoral;;Lago La Pastora;1991-04-15;Directos Caribe Golfo de Morrosquillo;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
2345;13077110;CASA BOMBAS [13077110];Limnimétrica;Convencional;Suspendida;1982-07-15;4;9.3;-75.9;Córdoba;Lorica;Area Operativa 02 - Atlántico-Bolivar-Sucre;Caribe;Sinú;;Sinu;2005-09-15;Bajo Sinú;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
2346;13080060;DOCTRINA LA [13080060];Pluviométrica;Convencional;Suspendida;1964-09-15;4;9.3;-75.88333333;Córdoba;Lorica;Area Operativa 02 - Atlántico-Bolivar-Sucre;Caribe;Sinú;;Sinu;1970-03-15;Bajo Sinú;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
2347;13070240;CERRO BAHIA [13070240];Pluviométrica;Convencional;Suspendida;1974-11-15;50;9.3;-75.85;Córdoba;Lorica;Area Operativa 02 - Atlántico-Bolivar-Sucre;Caribe;Sinú;;Sinu;2002-06-15;Bajo Sinú;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
